movie_id,Year,Director,Film,Winner
tt0093389,1987,Bernardo Bertolucci,The Last Emperor,True
tt0093209,1987,John Boorman,Hope and Glory,False
,1987,Lasse Hallstrom,My Life as a Dog,False
tt0093565,1987,Norman Jewison,Moonstruck,False
tt0093010,1987,Adrian Lyne,Fatal Attraction,False
tt0095953,1988,Barry Levinson,Rain Man,True
,1988,Charles Crichton,A Fish Called Wanda,False
tt0096463,1988,Mike Nichols,Working Girl,False
tt0095647,1988,Alan Parker,Mississippi Burning,False
,1988,Martin Scorsese,The Last Temptation of Christ,False
tt0096969,1989,Oliver Stone,Born on the Fourth of July,True
,1989,Woody Allen,Crimes and Misdemeanors,False
,1989,Kenneth Branagh,Henry V,False
tt0097937,1989,Jim Sheridan,My Left Foot,False
tt0097165,1989,Peter Weir,Dead Poets Society,False
tt0099348,1990,Kevin Costner,Dances with Wolves,True
tt0099674,1990,Francis Ford Coppola,The Godfather Part III,False
,1990,Stephen Frears,The Grifters,False
,1990,Barbet Schroeder,Reversal of Fortune,False
tt0099685,1990,Martin Scorsese,Goodfellas,False
tt0102926,1991,Jonathan Demme,The Silence of the Lambs,True
tt0101516,1991,Barry Levinson,Bugsy,False
,1991,Ridley Scott,Thelma & Louise,False
,1991,John Singleton,Boyz n the Hood,False
tt0102138,1991,Oliver Stone,JFK,False
tt0105695,1992,Clint Eastwood,Unforgiven,True
,1992,Robert Altman,The Player,False
tt0105323,1992,Martin Brest,Scent of a Woman,False
tt0104454,1992,James Ivory,Howards End,False
tt0104036,1992,Neil Jordan,The Crying Game,False
tt0108052,1993,Steven Spielberg,Schindler's List,True
,1993,Robert Altman,Short Cuts,False
tt0107822,1993,Jane Campion,The Piano,False
tt0107943,1993,James Ivory,The Remains of the Day,False
tt0107207,1993,Jim Sheridan,In the Name of the Father,False
tt0109830,1994,Robert Zemeckis,Forrest Gump,True
,1994,Woody Allen,Bullets over Broadway,False
,1994,Krzysztof Kieslowski,Three Colours: Red,False
tt0110932,1994,Robert Redford,Quiz Show,False
tt0110912,1994,Quentin Tarantino,Pulp Fiction,False
tt0112573,1995,Mel Gibson,Braveheart,True
,1995,Mike Figgis,Leaving Las Vegas,False
tt0112431,1995,Chris Noonan,Babe,False
,1995,Michael Radford,Il Postino: The Postman,False
,1995,Tim Robbins,Dead Man Walking,False
tt0116209,1996,Anthony Minghella,The English Patient,True
tt0116282,1996,Joel Coen,Fargo,False
,1996,Milos Forman,The People vs. Larry Flynt,False
tt0117631,1996,Scott Hicks,Shine,False
tt0117589,1996,Mike Leigh,Secrets & Lies,False
tt0120338,1997,James Cameron,Titanic,True
tt0119164,1997,Peter Cattaneo,The Full Monty,False
,1997,Atom Egoyan,The Sweet Hereafter,False
tt0119488,1997,Curtis Hanson,L.A. Confidential,False
tt0119217,1997,Gus Van Sant,Good Will Hunting,False
tt0120815,1998,Steven Spielberg,Saving Private Ryan,True
,1998,Roberto Benigni,Life Is Beautiful,False
tt0138097,1998,John Madden,Shakespeare in Love,False
tt0120863,1998,Terrence Malick,The Thin Red Line,False
,1998,Peter Weir,The Truman Show,False
tt0169547,1999,Sam Mendes,American Beauty,True
tt0124315,1999,Lasse Hallstrom,The Cider House Rules,False
,1999,Spike Jonze,Being John Malkovich,False
tt0140352,1999,Michael Mann,The Insider,False
tt0167404,1999,M. Night Shyamalan,The Sixth Sense,False
tt0181865,2000,Steven Soderbergh,Traffic,True
,2000,Stephen Daldry,Billy Elliot,False
tt0190332,2000,Ang Lee,"Crouching Tiger, Hidden Dragon",False
tt0172495,2000,Ridley Scott,Gladiator,False
tt0195685,2000,Steven Soderbergh,Erin Brockovich,False
tt0268978,2001,Ron Howard,A Beautiful Mind,True
tt0280707,2001,Robert Altman,Gosford Park,False
tt0120737,2001,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring,False
,2001,David Lynch,Mulholland Drive,False
,2001,Ridley Scott,Black Hawk Down,False
tt0253474,2002,Roman Polanski,The Pianist,True
,2002,Pedro Almodovar,Talk to Her,False
tt0274558,2002,Stephen Daldry,The Hours,False
tt0299658,2002,Rob Marshall,Chicago,False
tt0217505,2002,Martin Scorsese,Gangs of New York,False
tt0167260,2003,Peter Jackson,The Lord of the Rings: The Return of the King,True
tt0335266,2003,Sofia Coppola,Lost in Translation,False
tt0327056,2003,Clint Eastwood,Mystic River,False
,2003,Fernando Meirelles,City of God,False
tt0311113,2003,Peter Weir,Master and Commander: The Far Side of the World,False
tt0405159,2004,Clint Eastwood,Million Dollar Baby,True
