movie_id,Year,Actor,Film,Winner
tt0065724,1970,Jack Nicholson,Five Easy Pieces,False
tt0066011,1970,Ryan O'Neal,Love Story,False
tt0067116,1971,Gene Hackman,The French Connection,True
,1971,Peter Finch,Sunday Bloody Sunday,False
,1971,Walter Matthau,Kotch,False
,1971,George C. Scott,The Hospital,False
tt0067093,1971,Topol,Fiddler on the Roof,False
tt0068646,1972,Marlon Brando,The Godfather,True
,1972,Michael Caine,Sleuth,False
,1972,Peter O'Toole,The Ruling Class,False
tt0069303,1972,Paul Winfield,Sounder,False
,1973,Jack Lemmon,Save the Tiger,True
,1973,Marlon Brando,Last Tango in Paris,False
,1973,Jack Nicholson,The Last Detail,False
,1973,Al Pacino,Serpico,False
tt0070735,1973,Robert Redford,The Sting,False
,1974,Art Carney,Harry and Tonto,True
,1974,Albert Finney,Murder on the Orient Express,False
tt0071746,1974,Dustin Hoffman,Lenny,False
tt0071315,1974,Jack Nicholson,Chinatown,False
tt0071562,1974,Al Pacino,The Godfather Part II,False
tt0073486,1975,Jack Nicholson,One Flew Over the Cuckoo's Nest,True
,1975,Walter Matthau,The Sunshine Boys,False
tt0072890,1975,Al Pacino,Dog Day Afternoon,False
,1975,Maximilian Schell,The Man in the Glass Booth,False
,1975,James Whitmore,"Give 'em Hell, Harry!",False
tt0074958,1976,Peter Finch,Network,True
tt0075314,1976,Robert De Niro,Taxi Driver,False
,1976,Giancarlo Giannini,Seven Beauties,False
tt0074958,1976,William Holden,Network,False
tt0075148,1976,Sylvester Stallone,Rocky,False
tt0076095,1977,Richard Dreyfuss,The Goodbye Girl,True
tt0075686,1977,Woody Allen,Annie Hall,False
,1977,Richard Burton,Equus,False
,1977,Marcello Mastroianni,A Special Day,False
,1977,John Travolta,Saturday Night Fever,False
tt0077362,1978,Jon Voight,Coming Home,True
tt0077663,1978,Warren Beatty,Heaven Can Wait,False
,1978,Gary Busey,The Buddy Holly Story,False
tt0077416,1978,Robert De Niro,The Deer Hunter,False
,1978,Laurence Olivier,The Boys from Brazil,False
tt0079417,1979,Dustin Hoffman,Kramer vs. Kramer,True
,1979,Jack Lemmon,The China Syndrome,False
,1979,Al Pacino,...And Justice for All,False
tt0078754,1979,Roy Scheider,All That Jazz,False
,1979,Peter Sellers,Being There,False
tt0081398,1980,Robert De Niro,Raging Bull,True
,1980,Robert Duvall,The Great Santini,False
tt0080678,1980,John Hurt,The Elephant Man,False
,1980,Jack Lemmon,Tribute,False
,1980,Peter O'Toole,The Stunt Man,False
tt0082846,1981,Henry Fonda,On Golden Pond,True
tt0082979,1981,Warren Beatty,Reds,False
,1981,Burt Lancaster,Atlantic City,False
,1981,Dudley Moore,Arthur,False
,1981,Paul Newman,Absence of Malice,False
tt0083987,1982,Ben Kingsley,Gandhi,True
tt0084805,1982,Dustin Hoffman,Tootsie,False
tt0084335,1982,Jack Lemmon,Missing,False
tt0084855,1982,Paul Newman,The Verdict,False
,1982,Peter O'Toole,My Favorite Year,False
tt0086423,1983,Robert Duvall,Tender Mercies,True
,1983,Michael Caine,Educating Rita,False
,1983,Tom Conti,"Reuben, Reuben",False
tt0085461,1983,Tom Courtenay,The Dresser,False
,1983,Albert Finney,Sir,False
tt0086879,1984,F. Murray Abraham,Amadeus,True
,1984,Jeff Bridges,Starman,False
,1984,Albert Finney,Under the Volcano,False
tt0086879,1984,Tom Hulce,Amadeus,False
tt0087553,1984,Sam Waterston,The Killing Fields,False
tt0089424,1985,William Hurt,Kiss of the Spider Woman,True
tt0090329,1985,Harrison Ford,Witness,False
,1985,James Garner,Murphy's Romance,False
tt0089841,1985,Jack Nicholson,Prizzi's Honor,False
,1985,Jon Voight,Runaway Train,False
,1986,Paul Newman,The Color of Money,True
,1986,Dexter Gordon,Round Midnight,False
,1986,Bob Hoskins,Mona Lisa,False
tt0090830,1986,William Hurt,Children of a Lesser God,False
,1986,James Woods,Salvador,False
,1987,Michael Douglas,Wall Street,True
tt0092699,1987,William Hurt,Broadcast News,False
,1987,Marcello Mastroianni,Dark Eyes,False
,1987,Jack Nicholson,Ironweed,False
,1987,Robin Williams,"Good Morning, Vietnam",False
tt0095953,1988,Dustin Hoffman,Rain Man,True
tt0095647,1988,Gene Hackman,Mississippi Burning,False
,1988,Tom Hanks,Big,False
,1988,Edward James Olmos,Stand and Deliver,False
,1988,Max von Sydow,Pelle the Conqueror,False
tt0097937,1989,Daniel Day-Lewis,My Left Foot,True
,1989,Kenneth Branagh,Henry V,False
