movie_id,Year,Actress,Film,Winner
tt0088939,1985,Whoopi Goldberg,The Color Purple,False
,1985,Jessica Lange,Sweet Dreams,False
tt0089755,1985,Meryl Streep,Out of Africa,False
tt0090830,1986,Marlee Matlin,Children of a Lesser God,True
,1986,Jane Fonda,The Morning After,False
,1986,Sissy Spacek,Crimes of the Heart,False
,1986,Kathleen Turner,Peggy Sue Got Married,False
,1986,Sigourney Weaver,Aliens,False
tt0093565,1987,Cher,Moonstruck,True
tt0093010,1987,Glenn Close,Fatal Attraction,False
tt0092699,1987,Holly Hunter,Broadcast News,False
,1987,Sally Kirkland,Anna,False
,1987,Meryl Streep,Ironweed,False
,1988,Jodie Foster,The Accused,True
tt0094947,1988,Glenn Close,Dangerous Liaisons,False
tt0096463,1988,Melanie Griffith,Working Girl,False
,1988,Meryl Streep,A Cry in the Dark,False
,1988,Sigourney Weaver,Gorillas in the Mist,False
tt0097239,1989,Jessica Tandy,Driving Miss Daisy,True
,1989,Isabelle Adjani,Camille Claudel,False
,1989,Pauline Collins,Shirley Valentine,False
,1989,Jessica Lange,Music Box,False
,1989,Michelle Pfeiffer,The Fabulous Baker Boys,False
,1990,Kathy Bates,Misery,True
,1990,Anjelica Huston,The Grifters,False
,1990,Julia Roberts,Pretty Woman,False
,1990,Meryl Streep,Postcards from the Edge,False
,1990,Joanne Woodward,Mr. & Mrs. Bridge,False
tt0102926,1991,Jodie Foster,The Silence of the Lambs,True
,1991,Geena Davis,Thelma & Louise,False
,1991,Laura Dern,Rambling Rose,False
,1991,Bette Midler,For the Boys,False
,1991,Susan Sarandon,Thelma & Louise,False
tt0104454,1992,Emma Thompson,Howards End,True
,1992,Catherine Deneuve,Indochine,False
,1992,Mary McDonnell,Passion Fish,False
,1992,Michelle Pfeiffer,Love Field,False
,1992,Susan Sarandon,Lorenzo's Oil,False
tt0107822,1993,Holly Hunter,The Piano,True
,1993,Angela Bassett,What's Love Got to Do with It,False
,1993,Stockard Channing,Six Degrees of Separation,False
tt0107943,1993,Emma Thompson,The Remains of the Day,False
,1993,Debra Winger,Shadowlands,False
,1994,Jessica Lange,Blue Sky,True
,1994,Jodie Foster,Nell,False
,1994,Miranda Richardson,Tom & Viv,False
,1994,Winona Ryder,Little Women,False
,1994,Susan Sarandon,The Client,False
,1995,Susan Sarandon,Dead Man Walking,True
,1995,Elisabeth Shue,Leaving Las Vegas,False
,1995,Sharon Stone,Casino,False
,1995,Meryl Streep,The Bridges of Madison County,False
tt0114388,1995,Emma Thompson,Sense and Sensibility,False
tt0116282,1996,Frances McDormand,Fargo,True
tt0117589,1996,Brenda Blethyn,Secrets & Lies,False
,1996,Diane Keaton,Marvin's Room,False
